Date	AVG_daily_precip	Count
10/15/15	0.0	3
1/5/16	0.0	3
2/8/16	0.09000000000000001	3
4/15/16	0.0	3
5/12/16	0.0	3
11/27/16	0.0	3
2/26/15	0.0	1
10/28/13	0.0	3
9/26/14	0.0	3
8/7/15	0.0	3
7/2/16	0.0	3
12/12/16	0.5433333333333333	3
11/22/15	0.015	2
5/17/16	0.0	1
7/16/14	0.01	1
1/28/14	0.0	2
4/3/14	0.07333333333333335	3
11/3/14	0.0	3
3/7/15	0.0	3
6/19/16	0.0	3
12/18/16	0.04666666666666667	3
10/23/13	0.0	1
1/1/15	0.0	3
11/11/15	0.25	3
12/17/15	1.09	3
12/18/15	0.01	2
11/3/16	0.0	2
11/11/13	0.0	3
11/25/13	0.0	3
4/4/14	0.16666666666666666	3
6/8/15	0.04	3
2/16/16	0.7600000000000001	3
8/5/13	0.0	3
6/7/15	0.0	3
10/26/15	0.0	3
4/1/16	0.016666666666666666	3
8/19/16	0.01	3
12/26/16	0.02	1
7/24/14	0.0	3
8/3/14	0.07666666666666667	3
12/15/14	0.0	3
1/17/15	0.0	3
1/29/15	0.02	3
6/25/16	0.0	3
8/17/13	0.0	3
3/6/14	0.0	3
10/21/14	0.05333333333333334	3
4/10/15	0.20000000000000004	3
5/3/15	0.0	3
7/28/15	0.0	3
10/23/15	0.0	3
11/24/15	0.0	3
1/19/16	0.0	3
12/6/16	0.35666666666666663	3
4/4/15	0.01	1
8/23/13	0.0	3
4/8/14	0.31	3
4/18/14	0.0	3
10/6/14	0.0	3
1/3/15	0.7733333333333333	3
3/23/16	0.0	3
12/21/13	0.005	2
9/29/16	0.01	2
1/4/14	0.0	3
11/1/14	0.52	3
3/26/16	0.0	3
11/30/16	0.7233333333333333	3
11/30/13	0.0	3
11/21/14	0.0	3
1/11/16	0.0	3
8/26/13	0.03	2
11/22/13	0.07	3
3/31/14	0.16333333333333333	3
6/16/14	0.0	3
8/8/14	0.0	3
7/10/15	0.0	3
10/9/15	0.5566666666666668	3
1/7/16	0.0	3
5/31/16	0.0	3
11/12/14	0.0	1
10/13/15	0.01	1
