Pickup_dayofweek	pickup_year	pickup_hour	Count
Sunday	2014	22	106706
Monday	2013	19	10188
Monday	2013	6	2727
Tuesday	2013	9	7629
Thursday	2016	8	116648
Friday	2015	7	85016
Monday	2013	22	6741
Wednesday	2015	0	78014
Saturday	2014	1	154612
Sunday	2014	19	129453
Friday	2016	1	72995
Saturday	2016	13	116706
Saturday	2013	17	11251
Saturday	2015	7	46595
Monday	2015	17	137711
Friday	2013	21	12146
Wednesday	2016	10	92440
Thursday	2016	16	129664
Thursday	2015	23	146849
Saturday	2014	6	30537
Thursday	2016	17	149962
Sunday	2016	5	42312
Sunday	2016	20	117523
Monday	2013	10	7171
Wednesday	2013	4	2009
Thursday	2013	20	10511
Friday	2013	6	2586
Thursday	2015	9	127031
Thursday	2013	10	7181
Saturday	2016	5	37609
Tuesday	2014	17	123512
Sunday	2015	22	129905
Monday	2015	8	122941
Wednesday	2016	7	75215
Monday	2016	22	86212
Sunday	2013	0	11303
Tuesday	2016	12	84617
Saturday	2015	2	151480
Wednesday	2013	0	4821
Monday	2014	9	92841
Saturday	2016	3	96915
Tuesday	2015	8	125910
Sunday	2015	4	108839
Friday	2014	20	178793
Sunday	2016	15	121433
Wednesday	2016	9	108232
Monday	2013	7	5148
Monday	2015	12	93198
Saturday	2016	15	139662
Sunday	2016	7	32129
Tuesday	2016	3	15263
Wednesday	2016	19	149945
Wednesday	2014	0	67288
Friday	2014	1	68302
Wednesday	2015	21	144953
Friday	2015	15	144891
Sunday	2016	8	41331
Wednesday	2013	1	3559
Saturday	2014	14	115658
Saturday	2016	22	187428
Friday	2015	18	213827
Thursday	2016	19	161210
Sunday	2013	5	3285
Friday	2016	22	175949
Saturday	2016	12	111178
Monday	2016	2	29960
Tuesday	2016	5	17278
Sunday	2014	12	86095
Friday	2013	9	7809
Wednesday	2014	19	152165
Tuesday	2015	14	110165
Thursday	2016	6	36065
Friday	2016	11	93970
Tuesday	2013	12	7625
Sunday	2013	10	5248
Thursday	2013	11	7009
Tuesday	2014	8	100328
Wednesday	2014	2	28648
Thursday	2014	4	21812
Tuesday	2015	23	103536
Tuesday	2014	7	65735
Monday	2013	5	1856
Thursday	2013	14	8276
Friday	2013	2	3262
Saturday	2013	10	5851
Saturday	2016	7	41163
Thursday	2015	12	104773
Friday	2015	12	101349
Tuesday	2014	18	136750
Thursday	2014	11	84593
Friday	2014	14	101485
Friday	2015	3	39324
Monday	2015	10	101718
Friday	2014	0	95245
Friday	2016	3	36188
Wednesday	2016	1	39854
Wednesday	2016	12	89318
Sunday	2015	2	175044
Sunday	2015	12	112244
Sunday	2014	0	189083
Saturday	2013	16	10836
Monday	2016	21	98073
Wednesday	2014	18	152075
Sunday	2013	6	2338
Sunday	2015	5	54779
Wednesday	2015	20	156215
Saturday	2014	10	78446
Monday	2014	18	126268
Thursday	2013	12	7201
Tuesday	2015	2	27238
Monday	2016	7	72664
Thursday	2016	12	90292
Tuesday	2014	20	117555
Saturday	2016	23	195824
Monday	2015	23	86019
Monday	2015	14	106008
Sunday	2013	8	3090
Tuesday	2013	14	8780
Tuesday	2014	0	55369
Thursday	2014	17	138012
Thursday	2016	9	110965
Sunday	2016	9	60157
Thursday	2014	8	102175
Wednesday	2014	1	44906
Friday	2016	0	99748
Thursday	2014	15	110686
Monday	2016	9	102342
Monday	2016	15	103709
Wednesday	2014	4	20156
Sunday	2013	9	4126
Tuesday	2016	8	114484
Thursday	2014	22	128299
Tuesday	2015	10	104152
Friday	2013	18	13446
Saturday	2016	21	179633
Tuesday	2014	13	82327
Sunday	2013	3	7547
Friday	2014	8	98622
Tuesday	2016	0	55320
Wednesday	2015	13	101927
Saturday	2015	1	185192
Tuesday	2014	19	134099
Tuesday	2014	22	98672
Wednesday	2014	10	90596
Wednesday	2014	12	86944
Monday	2016	20	109100
Saturday	2016	8	58637
Tuesday	2015	1	43402
Thursday	2015	19	189877
Friday	2015	17	187796
Saturday	2013	20	12122
Sunday	2014	13	93839
Friday	2016	13	89408
Wednesday	2016	4	16562
Monday	2015	4	29708
Tuesday	2014	11	81025
Saturday	2015	15	159326
Wednesday	2015	22	135518
Sunday	2015	1	216310
Thursday	2013	13	7387
Monday	2016	5	21210
Friday	2016	23	179933
Friday	2014	23	183107
Thursday	2016	23	118174
Monday	2013	17	10469
Monday	2014	14	87485
Tuesday	2014	14	93227
Tuesday	2015	21	132861
Wednesday	2015	9	125399
Sunday	2013	2	9161
Monday	2013	12	7253
Monday	2013	0	4459
Friday	2014	15	120981
Thursday	2015	17	171299
Thursday	2015	21	170974
Monday	2015	2	38272
Monday	2015	22	101303
Friday	2016	19	190451
Friday	2015	13	100228
Tuesday	2014	2	23354
Thursday	2014	6	30545
Saturday	2014	20	182243
Sunday	2016	16	127508
Friday	2013	1	4494
Saturday	2013	7	3068
Monday	2013	13	7360
Tuesday	2016	23	84242
Thursday	2014	3	23489
Friday	2013	12	7573
Sunday	2013	17	9361
Wednesday	2015	1	52596
Thursday	2015	10	110417
Saturday	2013	0	10465
Sunday	2016	22	103871
Tuesday	2016	22	99626
Tuesday	2014	12	81276
Wednesday	2015	3	22583
Friday	2015	14	123163
Tuesday	2016	20	122199
Friday	2016	17	169108
Friday	2013	4	2325
Friday	2015	23	221035
Monday	2014	0	72758
Sunday	2015	16	149719
Thursday	2015	15	136857
Wednesday	2014	6	30752
Thursday	2015	6	42237
Tuesday	2014	21	107840
Saturday	2014	13	103156
Wednesday	2015	2	32764
Tuesday	2013	3	1884
Saturday	2014	5	40506
Monday	2016	6	35377
Saturday	2013	13	7566
Sunday	2015	14	131564
Wednesday	2014	14	99635
Monday	2014	17	116919
Monday	2015	7	82289
Sunday	2016	0	181646
Sunday	2016	3	111670
Wednesday	2016	21	121645
Thursday	2013	1	3411
Saturday	2013	22	11989
Friday	2016	7	79193
Tuesday	2015	3	19661
Saturday	2013	3	6472
Monday	2014	21	95886
Wednesday	2014	11	86242
Thursday	2015	7	88651
Wednesday	2015	4	21892
Sunday	2013	4	6137
Monday	2013	16	10130
Wednesday	2015	15	128312
Wednesday	2015	23	118555
Wednesday	2016	3	16840
Sunday	2014	6	30172
Sunday	2014	14	105384
Wednesday	2013	18	10619
Thursday	2013	18	11791
Friday	2016	21	172477
Sunday	2016	12	98617
Sunday	2014	1	176444
Thursday	2013	22	8488
Monday	2014	20	107938
Friday	2014	12	84780
Tuesday	2016	21	111681
Wednesday	2016	18	155180
Thursday	2015	22	161819
Friday	2015	10	111279
Monday	2015	1	57787
Monday	2015	16	125475
Thursday	2013	15	9468
Friday	2015	22	213751
Saturday	2014	0	173725
Sunday	2014	3	119782
Thursday	2014	13	86723
Sunday	2013	22	6781
Tuesday	2015	20	143244
Friday	2016	4	30480
Sunday	2016	1	165565
Saturday	2013	5	2948
Saturday	2016	0	170966
Wednesday	2014	23	102112
Friday	2013	15	10257
Saturday	2014	18	172229
Friday	2015	21	207599
Sunday	2015	8	46077
Monday	2015	13	94328
Tuesday	2016	9	108366
Thursday	2014	7	67757
Wednesday	2016	15	111189
Saturday	2015	14	143520
Thursday	2015	11	104522
Friday	2015	16	162509
Tuesday	2015	12	95073
Wednesday	2015	10	107739
Thursday	2015	0	98176
Tuesday	2013	8	7492
Monday	2013	18	10804
Sunday	2015	9	66606
Saturday	2015	8	65781
Tuesday	2016	19	140307
Thursday	2016	5	18472
Monday	2014	7	63177
Saturday	2013	1	9375
Monday	2015	11	94404
Tuesday	2014	15	103324
Saturday	2014	11	88185
Friday	2016	15	129921
Thursday	2014	18	153272
Sunday	2015	18	161518
Saturday	2015	16	172813
Thursday	2015	2	46433
Tuesday	2016	11	85964
Saturday	2016	16	149635
Sunday	2016	11	91814
Friday	2015	1	83763
Saturday	2016	18	175630
Wednesday	2016	17	140006
Friday	2015	4	33255
Saturday	2015	11	114902
Tuesday	2013	22	9964
Tuesday	2016	13	84896
Tuesday	2015	9	121667
