Pickup_date	pickup_hour	Count
2014-02-12	11	18364
2014-02-17	1	5239
2014-02-05	21	27246
2014-02-01	17	25095
2014-02-03	18	24418
2014-02-17	3	2544
2014-02-07	14	23387
2014-02-24	6	3561
2014-02-25	11	6206
2014-02-27	10	18374
2014-02-11	23	18142
2014-02-23	23	6222
2014-02-11	2	2832
2014-02-05	0	11615
2014-02-15	6	2641
2014-02-01	3	18034
2014-02-05	20	27058
2014-02-07	0	19706
2014-02-13	16	8356
2014-02-15	21	13456
2014-02-24	10	5961
2014-02-26	11	5977
2014-02-26	4	1105
2014-02-20	2	614
2014-02-06	17	21051
2014-02-08	10	21507
2014-02-11	6	10016
2014-02-19	22	13732
2014-02-11	14	19829
2014-02-27	23	7172
2014-02-23	19	10994
2014-02-09	14	25073
2014-02-28	23	8603
2014-02-10	15	17268
2014-02-09	18	27478
2014-02-10	12	16181
2014-02-23	8	4848
2014-02-23	3	9967
2014-02-18	4	1134
2014-02-05	22	25130
2014-02-02	11	20213
2014-02-13	21	13834
2014-02-26	10	6500
2014-02-04	22	25773
2014-02-01	23	32483
2014-02-08	6	5334
2014-02-19	9	12525
2014-02-09	1	29076
2014-02-16	9	6248
2014-02-12	9	21326
2014-02-16	12	11764
2014-02-01	0	31295
2014-02-02	0	31190
2014-02-17	13	10887
2014-02-18	8	11964
2014-02-25	8	6931
2014-02-24	18	8168
2014-02-20	13	12
2014-02-01	18	30460
2014-02-05	11	18599
2014-02-02	9	13336
2014-02-17	2	3660
2014-02-26	21	17039
2014-02-08	18	32655
2014-02-11	4	1727
2014-02-22	23	21
2014-02-03	10	18351
2014-02-03	1	8742
2014-02-20	23	9
2014-02-08	1	25701
2014-02-01	9	16268
2014-02-13	5	2425
2014-02-24	2	1217
2014-02-06	6	13144
2014-02-15	16	11460
2014-02-07	23	32677
2014-02-04	6	12524
2014-02-06	3	3150
2014-02-19	3	521
2014-02-09	23	12505
2014-02-27	20	8583
2014-02-22	7	4
2014-02-22	15	6
2014-02-15	19	16462
2014-02-10	20	23093
2014-02-27	9	20079
2014-02-08	9	18335
2014-02-17	20	11243
2014-02-03	22	17763
2014-02-05	16	17799
2014-02-19	1	2
2014-02-26	3	1053
2014-02-22	17	7
2014-02-16	6	1951
2014-02-14	11	11039
2014-02-18	5	2190
2014-02-16	13	12310
2014-02-08	12	27266
2014-02-09	16	23124
2014-02-02	5	6037
2014-02-24	4	1038
2014-02-20	17	4
2014-02-07	17	21903
2014-02-03	19	24255
2014-02-26	12	6516
2014-02-07	18	29329
2014-02-11	21	25900
2014-02-13	19	13073
2014-02-16	5	2332
2014-02-04	13	21373
2014-02-06	7	23230
2014-02-17	18	13977
2014-02-13	13	8655
2014-02-19	4	1244
2014-02-24	7	5964
2014-02-28	8	7296
2014-02-15	2	9830
2014-02-19	14	10079
2014-02-28	21	8696
2014-02-15	4	5195
2014-02-27	12	18713
2014-02-25	21	7807
2014-02-19	17	11740
2014-02-12	19	26517
2014-02-03	21	20240
2014-02-14	14	11844
2014-02-24	3	958
2014-02-22	18	6
2014-02-14	12	10864
2014-02-28	17	6793
2014-02-23	7	2804
2014-02-13	2	4424
2014-02-22	9	2
2014-02-27	5	3421
2014-02-25	19	8060
2014-02-28	12	7297
2014-02-11	13	18540
2014-02-18	13	9555
2014-02-21	6	5
2014-02-18	2	1457
2014-02-03	0	13438
2014-02-23	2	12771
2014-02-09	15	24779
2014-02-07	3	5641
2014-02-27	3	2600
2014-02-23	5	2779
2014-02-18	17	11562
2014-02-08	17	26029
2014-02-14	16	9402
2014-02-28	2	2553
2014-02-08	20	31090
2014-02-21	2	1
2014-02-26	19	8824
2014-02-20	8	2
2014-02-24	21	6671
2014-02-01	7	7288
2014-02-11	17	19044
2014-02-28	14	7834
2014-02-02	23	20925
2014-02-16	23	10176
2014-02-13	10	7032
2014-02-15	18	15126
2014-02-19	18	14820
2014-02-01	16	22204
2014-02-16	21	11244
2014-02-11	16	14658
2014-02-26	5	1442
2014-02-07	21	31766
2014-02-12	14	18462
2014-02-03	14	18019
2014-02-12	5	3522
2014-02-17	6	2795
2014-02-19	20	15183
2014-02-08	14	26889
2014-02-03	15	18995
2014-02-26	22	21857
2014-02-24	13	6297
2014-02-19	12	11730
2014-02-17	8	7004
2014-02-05	13	18839
2014-02-26	18	8211
2014-02-25	5	1313
2014-02-15	10	9586
2014-02-13	20	13426
2014-02-24	19	7843
2014-02-01	1	27529
2014-02-03	16	16157
2014-02-03	20	21635
2014-02-08	19	33629
2014-02-20	0	5550
2014-02-14	21	16273
2014-02-25	7	6447
2014-02-05	18	29156
2014-02-08	13	27977
2014-02-10	21	22263
2014-02-12	3	2167
2014-02-04	23	18801
2014-02-23	0	946
2014-02-06	13	22577
2014-02-13	3	2870
2014-02-25	17	6669
2014-02-11	0	8113
2014-02-06	10	23530
2014-02-28	0	5402
2014-02-18	12	10086
2014-02-01	11	23088
2014-02-11	1	4612
2014-02-26	16	5307
2014-02-25	9	6504
2014-02-20	15	11
2014-02-16	15	11220
2014-02-04	3	2146
2014-02-10	17	19558
2014-02-11	18	24823
2014-02-12	16	13310
2014-02-19	19	15888
2014-02-27	0	10992
2014-02-04	11	22043
2014-02-23	15	10684
2014-02-28	13	7435
2014-02-08	11	24571
