Pickup_date	Count
2016-12-27	26384
2013-08-18	165
2015-09-22	40881
2016-08-04	41787
2016-03-02	49331
2013-12-15	16877
2013-12-26	16596
2014-08-08	47051
2016-06-05	51552
2016-06-14	37737
2015-06-20	67109
2014-10-14	38397
2014-10-19	55580
2014-04-20	46248
2016-12-05	33427
2015-02-20	64721
2013-10-31	9310
2013-11-25	12719
2015-10-03	61386
2015-07-01	49634
2015-12-24	56420
2014-07-07	34163
2013-09-06	1026
2014-03-14	47015
2016-04-13	45542
2013-12-07	20851
2016-09-13	31938
2015-01-30	62944
2015-02-14	76426
2014-02-25	33827
2014-10-24	55343
2014-01-22	21734
2015-04-02	55928
2014-07-28	29222
2014-08-16	56688
2014-08-28	40645
2013-11-27	15738
2013-10-29	7304
2016-10-14	44966
2016-04-09	68654
2016-08-21	44883
2016-08-22	32071
2014-08-24	46051
2015-06-25	51862
2016-07-29	47642
2015-07-08	44912
2015-12-25	39236
2014-04-12	57320
2015-04-25	75469
2014-12-03	47440
2016-09-24	50841
2013-08-31	850
2014-12-31	67526
2015-05-14	54778
2015-08-14	54988
2014-11-25	44473
2014-07-03	46097
2013-09-24	2043
2016-05-02	40595
2014-09-21	50583
2013-10-07	3229
2014-01-21	15490
2014-12-24	56344
2015-01-03	53866
2013-11-16	14983
2015-12-19	73435
2016-07-08	45842
2016-08-29	30704
2015-10-27	43212
2015-01-06	40646
2013-11-01	11335
2015-03-24	45811
2016-01-03	44270
2014-05-12	36439
2015-04-13	44318
2014-04-10	41799
2016-07-04	37722
2014-05-25	46302
2014-05-26	36009
2016-02-29	43326
2014-12-14	60040
2013-12-28	22432
2015-07-17	47302
2015-05-22	60792
2013-08-29	642
2015-02-24	50161
2016-10-11	33229
2016-03-24	51454
2013-09-22	2099
2016-11-23	39361
2016-08-14	45042
2014-07-31	41543
2014-02-26	35749
2014-02-27	40467
2014-12-30	43174
2014-07-18	46195
2014-08-27	37955
2014-12-10	49646
2015-07-31	58151
2016-07-12	34946
2015-09-03	48372
2015-08-16	55389
2014-09-16	39691
2015-09-12	66962
2016-12-11	40533
2016-01-21	48606
2014-02-04	29559
2016-07-30	56753
2016-04-17	56261
2015-11-11	42148
2015-10-26	41874
2015-09-05	58829
2015-04-06	43483
2015-05-13	51867
2014-05-27	34970
2016-03-04	58737
2014-01-19	30264
2016-08-08	33379
2015-06-17	49082
2014-05-21	40111
2013-10-11	5205
2016-01-27	45792
2014-04-13	46006
2015-09-23	41171
2016-11-18	45088
2015-08-20	47738
2014-11-04	37577
2015-08-03	41759
2014-12-28	43055
2016-07-14	42025
2014-06-02	35308
2015-09-14	39199
2015-12-20	58388
2013-08-19	216
2014-02-06	33749
2016-11-01	36155
2015-03-02	46653
2016-04-01	57024
2015-08-27	44111
2014-08-05	36032
2015-08-22	64497
2016-01-14	45846
2014-05-18	49635
2016-06-18	60909
2015-10-17	68948
2013-12-11	16616
2016-08-09	34940
2014-11-10	39507
2014-02-07	40028
2016-10-12	31784
2016-03-21	41736
2016-06-10	50795
2016-05-15	57551
2015-04-03	60434
2016-02-19	57004
2016-02-21	55142
2014-02-23	39798
2016-11-28	30403
2016-04-07	48454
2016-03-26	62613
2015-09-26	65594
2014-07-11	45439
2015-11-19	56609
2016-11-17	38621
2015-10-21	44853
2016-05-16	41273
2013-12-20	26729
2014-04-01	36512
2013-08-07	70
